,,,코드,분류명,정의,주요 예시,저장 방식,수명(개월)
구분,내용,,T,Thermostabilized,멸균·열처리 완전조리식,"스튜, 카레, 된장국",상온,18–24
운영기관,NASA Johnson Space Center – Space Food Systems Laboratory (SFSL),,R,Rehydratable,동결건조·온수 재수화식,"밥, 파스타, 죽, 스프",상온,18–24
목적,"장기 임무에서의 영양 균형, 저장 안정성, 폐기물 최소화, 심리적 만족도 확보",,I,Intermediate Moisture,반건식·즉석 섭취 가능,"에너지바, 머핀, 케이크",상온,12
운영 시스템,Food Item Tracking Database (FITD) + Menu Planning Software (MPS),,N,Natural / Fresh,신선 과일·채소류,"샐러드, 스시, 생과",냉장,3–5일
데이터 항목,"식품명, 분류코드, 수분함량, 포장유형, 무게, 부피, 열량, 단백질, 지방, 비타민, 저장수명, 조리전력, 물 필요량 등",,B,Beverage / Paste,액상·튜브형,"주스, 된장, 쌈장, 요거트",상온/냉장,6–12
관리 단위,"1인 1일 기준 3,200 kcal (남성 기준), 2,400 kcal (여성 기준)",,F,Frozen / Baked,냉동 또는 오븐식,"피자, 라자냐, 미트볼",-20°C,24–36
메뉴 사이클,"810일 순환형, 100120품목 로테이션",,G,Germinated / Fresh Cultivated,우주 내 재배 식품,"ISS Veggie 청경채, 케일",실시간,즉시
보급 주기,ISS: 약 30일 / Gateway: 60일 / Mars Transit: 180일 기준,,P,Powdered / Nutrient Mix,분말형 영양식,"단백질 파우더, 음료 믹스",상온,24
,,,,,,,,
,,,,,,,,
,,,분류,비율(%),주요 목적,,,
,,,T (열처리 안정식),35,주식·단백질 중심,,,
,,,R (재수화식),25,탄수화물·에너지 보급,,,
,,,I (반건식),15,간식·심리적 만족,,,
,,,N (신선식),10,비타민·심리적 안정,,,
,,,B (음료·페이스트),10,수분·전해질 보급,,,
,,,F (냉동식),5,구조형 고열량식,,,
,,,G (재배식),<5,장기 임무 대비,,,
,,,P (분말형),<5,보조 영양제 기반,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,분류,포장 형태,살균 조건,수명,비고,
,,,T,알루미늄 멸균 파우치,"121°C, 15분",24개월,완전조리식,
,,,R,동결건조 파우치,-50°C 진공,24개월,물 주입형,
,,,I,질소충전 반건식,저온 보존,12개월,에너지바류,
,,,N,냉장 박스,4°C,5일,보급 후 즉시 섭취,
,,,B,파우치 / 튜브,80°C 살균,12개월,음료·소스형,
,,,F,진공 냉동,-20°C,36개월,구조형 식품,
,,,G,재배 모듈,실시간,–,우주농업,
,,,P,멸균 파우더백,상온,24개월,단백질·비타민 분말,
,,,,,,,,
,,,,,,,,
,,,메뉴,분류,NASA 코드,조리 필요성,,
,,,된장 청경채국,한식,T,가열 (3분),,
,,,비빔밥 / 간장밥 / 리조또류,한식/양식,R,온수 재수화,,
,,,피자 / 라자냐 / 그라탕,양식,F,오븐 가열,,
,,,감자튀김 / 미트볼,양식,F,오븐 가열,,
,,,쌈장 / 칠리소스,한식,B,무가열 튜브형,,
,,,샐러드 / 스시,양식/일식,N,신선식,,
,,,에너지바 / 머핀,간식,I,반건식,,
,,,청경채 / 케일 재배식,G,G,실시간 재배,,
,,,단백질 파우더 / 요거트,퓨전,P,분말 / 발효형,,
,,,,,,,,
,관련 논문,,,,,,,
,"Douglas, G. L. et al., Spaceflight Food System Report, NASA JSC-2023-5203",,,,,,,
,,,,,,,,
,"NASA JSC 6820, Space Food Systems Laboratory Standards (2022)",,,,,,,
,,,,,,,,
,"Perchonok, M.H., NASA Food Packaging Technology, Acta Astronautica, 2021",,,,,,,
,,,,,,,,
,"ESA MELiSSA Project, Deep Space Nutrition Architecture, 2024",,,,,,,
,,,,,,,,
,"Grace L. Douglas, Food Quality and Stability in Long Duration Missions, NASA, 2020",,,,,,,
,,,,,,,,
,"Smith, S.M. et al., Nutritional Biochemistry of Spaceflight, NASA 2023",,,,,,,
